Date_of_journey,Journey_day,Airline,Flight_code,Class,Source,Departure,Total_stops,Arrival,Destination,Duration_in_hours,Days_left,Fare
2023-01-16,Monday,Indigo,6E-626,Economy,Hyderabad,12 PM - 6 PM,1-stop,After 6 PM,Chennai,4.5833,1.0,12064.0
2023-01-16,Monday,Indigo,6E-409,Economy,Hyderabad,12 PM - 6 PM,1-stop,After 6 PM,Chennai,5.9167,1.0,12064.0
2023-01-16,Monday,Indigo,6E-6646,Economy,Hyderabad,12 PM - 6 PM,1-stop,After 6 PM,Chennai,5.25,1.0,13668.0
2023-01-16,Monday,Indigo,6E-6781,Economy,Hyderabad,12 PM - 6 PM,1-stop,After 6 PM,Chennai,6.25,1.0,17735.0
2023-01-18,Wednesday,Indigo,6E-216,Economy,Hyderabad,After 6 PM,non-stop,After 6 PM,Ahmedabad,1.75,3.0,6997.0
2023-01-21,Saturday,Indigo,6E-202,Economy,Hyderabad,12 PM - 6 PM,1-stop,Before 6 AM,Ahmedabad,7.75,6.0,9150.0
2023-01-16,Monday,AirAsia,I5-582,Economy,Kolkata,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,5.75,1.0,6788.0
2023-01-16,Monday,AirAsia,I5-554,Economy,Kolkata,After 6 PM,1-stop,Before 6 AM,Delhi,7.6667,1.0,6788.0
2023-01-16,Monday,AirAsia,I5-1563,Economy,Kolkata,12 PM - 6 PM,1-stop,Before 6 AM,Delhi,9.5,1.0,6788.0
2023-01-16,Monday,AirAsia,I5-319,Economy,Kolkata,12 PM - 6 PM,1-stop,Before 6 AM,Delhi,12.3333,1.0,6788.0
2023-01-16,Monday,AirAsia,I5-634,Economy,Kolkata,6 AM - 12 PM,1-stop,After 6 PM,Delhi,14.0833,1.0,6788.0
2023-01-16,Monday,Indigo,6E-2009,Economy,Kolkata,After 6 PM,non-stop,Before 6 AM,Delhi,2.5833,1.0,8712.0
2023-01-16,Monday,GO FIRST,G8-514,Economy,Kolkata,12 PM - 6 PM,1-stop,Before 6 AM,Delhi,8.1667,1.0,7424.0
2023-01-16,Monday,GO FIRST,G8-537,Economy,Kolkata,12 PM - 6 PM,1-stop,Before 6 AM,Delhi,8.25,1.0,7424.0
2023-01-16,Monday,GO FIRST,G8-532,Economy,Kolkata,6 AM - 12 PM,1-stop,After 6 PM,Delhi,10.1667,1.0,7424.0
2023-01-16,Monday,GO FIRST,G8-393,Economy,Kolkata,6 AM - 12 PM,1-stop,After 6 PM,Delhi,11.1667,1.0,7424.0
2023-01-16,Monday,SpiceJet,SG-494,Economy,Kolkata,6 AM - 12 PM,1-stop,After 6 PM,Delhi,8.1667,1.0,8036.0
2023-01-16,Monday,Indigo,6E-2234,Economy,Kolkata,After 6 PM,non-stop,Before 6 AM,Delhi,2.5833,1.0,8712.0
2023-01-16,Monday,Indigo,6E-224,Economy,Kolkata,After 6 PM,non-stop,After 6 PM,Delhi,2.5,1.0,8712.0
2023-01-16,Monday,SpiceJet,SG-8130,Economy,Kolkata,6 AM - 12 PM,non-stop,6 AM - 12 PM,Delhi,2.4167,1.0,8706.0
2023-01-16,Monday,SpiceJet,SG-8264,Economy,Kolkata,After 6 PM,non-stop,After 6 PM,Delhi,2.5,1.0,8706.0
2023-01-16,Monday,Air India,AI-763,Economy,Kolkata,6 AM - 12 PM,non-stop,6 AM - 12 PM,Delhi,2.25,1.0,8712.0
2023-01-16,Monday,Indigo,6E-2474,Economy,Kolkata,Before 6 AM,non-stop,6 AM - 12 PM,Delhi,2.4167,1.0,8712.0
2023-01-16,Monday,Indigo,6E-5008,Economy,Kolkata,6 AM - 12 PM,non-stop,12 PM - 6 PM,Delhi,2.4167,1.0,8712.0
2023-01-16,Monday,Indigo,6E-6324,Economy,Kolkata,6 AM - 12 PM,non-stop,6 AM - 12 PM,Delhi,2.5833,1.0,8712.0
2023-01-16,Monday,Vistara,UK-708,Economy,Kolkata,After 6 PM,non-stop,After 6 PM,Delhi,2.3333,1.0,9447.0
2023-01-16,Monday,Indigo,6E-854,Economy,Kolkata,6 AM - 12 PM,non-stop,6 AM - 12 PM,Delhi,2.75,1.0,9237.0
2023-01-16,Monday,AirAsia,I5-541,Economy,Kolkata,Before 6 AM,1-stop,12 PM - 6 PM,Delhi,10.9167,1.0,9668.0
2023-01-16,Monday,GO FIRST,G8-102,Economy,Kolkata,12 PM - 6 PM,non-stop,12 PM - 6 PM,Delhi,2.5833,1.0,9448.0
2023-01-16,Monday,Air India,AI-768,Economy,Kolkata,12 PM - 6 PM,non-stop,After 6 PM,Delhi,2.5833,1.0,9552.0
2023-01-16,Monday,Indigo,6E-2413,Economy,Kolkata,12 PM - 6 PM,non-stop,12 PM - 6 PM,Delhi,2.5,1.0,9762.0
2023-01-16,Monday,Indigo,6E-404,Economy,Kolkata,After 6 PM,non-stop,After 6 PM,Delhi,2.5,1.0,9762.0
2023-01-16,Monday,Indigo,6E-2516,Economy,Kolkata,12 PM - 6 PM,non-stop,After 6 PM,Delhi,2.5833,1.0,9762.0
2023-01-16,Monday,Indigo,6E-898,Economy,Kolkata,After 6 PM,non-stop,After 6 PM,Delhi,2.6667,1.0,9762.0
2023-01-16,Monday,Indigo,6E-895,Economy,Kolkata,12 PM - 6 PM,1-stop,After 6 PM,Delhi,5.9167,1.0,9782.0
2023-01-16,Monday,Indigo,6E-811,Economy,Kolkata,12 PM - 6 PM,1-stop,After 6 PM,Delhi,6.25,1.0,10917.0
2023-01-16,Monday,Vistara,UK-738,Economy,Kolkata,After 6 PM,non-stop,After 6 PM,Delhi,2.4167,1.0,10182.0
2023-01-16,Monday,Indigo,6E-5599,Economy,Kolkata,6 AM - 12 PM,non-stop,12 PM - 6 PM,Delhi,2.4167,1.0,10287.0
2023-01-16,Monday,Indigo,6E-6087,Economy,Kolkata,12 PM - 6 PM,1-stop,Before 6 AM,Delhi,7.0,1.0,10565.0
2023-01-16,Monday,Indigo,6E-751,Economy,Kolkata,12 PM - 6 PM,1-stop,After 6 PM,Delhi,6.75,1.0,10649.0
2023-01-16,Monday,Air India,AI-402,Economy,Kolkata,6 AM - 12 PM,non-stop,12 PM - 6 PM,Delhi,2.5,1.0,11022.0
2023-01-16,Monday,Vistara,UK-720,Economy,Kolkata,6 AM - 12 PM,non-stop,6 AM - 12 PM,Delhi,2.5,1.0,12177.0
2023-01-16,Monday,Air India,AI-775,Economy,Kolkata,12 PM - 6 PM,1-stop,12 PM - 6 PM,Delhi,25.6667,1.0,14172.0
2023-01-16,Monday,Indigo,6E-417,Economy,Kolkata,12 PM - 6 PM,1-stop,After 6 PM,Delhi,4.9167,1.0,12379.0
2023-01-16,Monday,Indigo,6E-135,Economy,Kolkata,6 AM - 12 PM,1-stop,After 6 PM,Delhi,7.6667,1.0,12512.0
2023-01-16,Monday,Indigo,6E-6917,Economy,Kolkata,12 PM - 6 PM,1-stop,After 6 PM,Delhi,5.75,1.0,12547.0
2023-01-16,Monday,Indigo,6E-875,Economy,Kolkata,12 PM - 6 PM,1-stop,Before 6 AM,Delhi,6.6667,1.0,12615.0
2023-01-16,Monday,Air India,AI-676,Economy,Kolkata,6 AM - 12 PM,1-stop,After 6 PM,Delhi,10.8333,1.0,14172.0
