flight_num,from,to
6E-353,Delhi,Kolkata
6E-483,Delhi,Kolkata
G8-392,Delhi,Kolkata
G8-336,Delhi,Kolkata
6E-181,Delhi,Kolkata
6E-5014,Delhi,Kolkata
I5-548,Delhi,Kolkata
6E-2106,Delhi,Kolkata
SG-8253,Delhi,Kolkata
UK-747,Delhi,Kolkata
AI-764,Delhi,Kolkata
UK-737,Delhi,Kolkata
6E-912,Delhi,Kolkata
6E-2057,Delhi,Kolkata
6E-6238,Delhi,Kolkata
6E-2485,Delhi,Kolkata
AI-762,Delhi,Kolkata
6E-6271,Delhi,Kolkata
6E-2513,Delhi,Kolkata
6E-755,Delhi,Kolkata
UK-705,Delhi,Kolkata
6E-2615,Delhi,Kolkata
6E-397,Delhi,Kolkata
AI-415,Delhi,Kolkata
SG-8903,Delhi,Kolkata
6E-282,Delhi,Kolkata
UK-707,Delhi,Kolkata
AI-401,Delhi,Kolkata
AI-767,Delhi,Kolkata
SG-8187,Delhi,Kolkata
UK-641,Delhi,Kolkata
6E-6195,Delhi,Kolkata
G8-153,Delhi,Kolkata
I5-1529,Delhi,Kolkata
AI-891,Delhi,Kolkata
6E-2178,Delhi,Kolkata
AI-504,Delhi,Kolkata
AI-542,Delhi,Kolkata
AI-502,Delhi,Kolkata
UK-963,Delhi,Kolkata
UK-951,Delhi,Kolkata
UK-945,Delhi,Kolkata
UK-995,Delhi,Kolkata
AI-540,Delhi,Kolkata
AI-429,Delhi,Kolkata
G8-323,Delhi,Kolkata
G8-275,Delhi,Kolkata
6E-2032,Delhi,Kolkata
AI-441,Delhi,Kolkata
AI-665,Delhi,Kolkata
AI-887,Delhi,Kolkata
6E-2181,Delhi,Kolkata
AI-483,Delhi,Kolkata
UK-927,Delhi,Kolkata
AI-453,Delhi,Kolkata
6E-6278,Delhi,Kolkata
6E-6971,Delhi,Kolkata
AI-479,Delhi,Kolkata
6E-5031,Delhi,Kolkata
6E-2338,Delhi,Kolkata
UK-933,Delhi,Kolkata
6E-2247,Delhi,Kolkata
6E-6205,Delhi,Kolkata
6E-6202,Delhi,Kolkata
AI-537,Delhi,Kolkata
G8-338,Delhi,Kolkata
G8-334,Delhi,Kolkata
6E-5001,Delhi,Kolkata
AI-485,Delhi,Kolkata
6E-2005,Delhi,Kolkata
AI-879,Delhi,Kolkata
AI-839,Delhi,Kolkata
SG-2976,Delhi,Kolkata
UK-955,Delhi,Kolkata
AI-469,Delhi,Kolkata
6E-5073,Delhi,Kolkata
I5-747,Delhi,Kolkata
I5-784,Delhi,Kolkata
G8-717,Delhi,Kolkata
UK-985,Delhi,Kolkata
UK-817,Delhi,Kolkata
UK-819,Delhi,Kolkata
SG-8152,Delhi,Kolkata
6E-2089,Delhi,Kolkata
6E-2329,Delhi,Kolkata
I5-711,Delhi,Kolkata
I5-783,Delhi,Kolkata
I5-740,Delhi,Kolkata
G8-330,Delhi,Kolkata
G8-346,Delhi,Kolkata
G8-2513,Delhi,Kolkata
SG-8106,Delhi,Kolkata
6E-2148,Delhi,Kolkata
SG-480,Delhi,Kolkata
SG-8721,Delhi,Kolkata
I5-768,Delhi,Kolkata
SG-8263,Delhi,Kolkata
I5-550,Delhi,Kolkata
6E-2367,Delhi,Kolkata
6E-2001,Delhi,Kolkata
6E-398,Delhi,Kolkata
6E-889,Delhi,Kolkata
6E-761,Delhi,Kolkata
6E-5012,Delhi,Kolkata
6E-6187,Delhi,Kolkata
6E-186,Delhi,Kolkata
AI-803,Delhi,Kolkata
AI-560,Delhi,Kolkata
UK-977,Delhi,Kolkata
UK-953,Delhi,Kolkata
6E-2043,Delhi,Kolkata
AI-868,Delhi,Kolkata
AI-636,Delhi,Kolkata
AI-805,Delhi,Kolkata
AI-624,Delhi,Kolkata
AI-544,Delhi,Kolkata
G8-422,Delhi,Kolkata
AI-439,Delhi,Kolkata
6E-5336,Delhi,Kolkata
6E-2331,Delhi,Kolkata
AI-409,Delhi,Kolkata
AI-877,Delhi,Kolkata
6E-2031,Delhi,Kolkata
6E-2841,Delhi,Kolkata
6E-387,Delhi,Kolkata
G8-171,Delhi,Kolkata
6E-198,Delhi,Kolkata
6E-2154,Delhi,Kolkata
6E-5041,Delhi,Kolkata
AI-9991,Delhi,Kolkata
G8-237,Delhi,Kolkata
AI-473,Delhi,Kolkata
6E-2046,Delhi,Kolkata
6E-6171,Delhi,Kolkata
6E-7403,Delhi,Kolkata
6E-926,Delhi,Kolkata
UK-871,Delhi,Kolkata
UK-879,Delhi,Kolkata
UK-815,Delhi,Kolkata
UK-801,Delhi,Kolkata
UK-899,Delhi,Kolkata
AI-807,Delhi,Kolkata
UK-637,Delhi,Kolkata
AI-506,Delhi,Kolkata
G8-113,Delhi,Kolkata
6E-218,Delhi,Kolkata
6E-2769,Delhi,Kolkata
AI-895,Delhi,Kolkata
AI-889,Delhi,Kolkata
AI-678,Delhi,Kolkata
6E-5003,Delhi,Kolkata
AI-423,Delhi,Kolkata
UK-829,Delhi,Kolkata
UK-727,Delhi,Kolkata
I5-721,Delhi,Kolkata
6E-358,Delhi,Kolkata
UK-981,Delhi,Kolkata
UK-941,Delhi,Kolkata
6E-6613,Delhi,Kolkata
UK-993,Delhi,Kolkata
UK-943,Delhi,Kolkata
UK-975,Delhi,Kolkata
UK-706,Delhi,Kolkata
UK-811,Delhi,Kolkata
AI-489,Delhi,Kolkata
6E-2109,Delhi,Kolkata
6E-2517,Delhi,Kolkata
G8-286,Delhi,Kolkata
6E-2083,Delhi,Kolkata
6E-2137,Delhi,Kolkata
6E-6636,Delhi,Kolkata
6E-128,Delhi,Kolkata
AI-837,Delhi,Kolkata
UK-813,Delhi,Kolkata
SG-1072,Delhi,Kolkata
AI-865,Delhi,Kolkata
6E-2097,Delhi,Kolkata
6E-549,Delhi,Kolkata
6E-148,Delhi,Kolkata
G8-423,Delhi,Kolkata
G8-7535,Delhi,Kolkata
G8-7534,Delhi,Kolkata
